id_turma;situacao_turma;nome_prof;codigo;nome_materia;total_aprovados;total;aprovacao
57653677;CONSOLIDADA;JOSINALDO MENEZES DA SILVA;ECT2101;PRÉ-CÁLCULO;115.0;320.0;0.359375
57653692;CONSOLIDADA;JOSINALDO MENEZES DA SILVA;ECT2101;PRÉ-CÁLCULO;86.0;281.0;0.30604982206405695
57653689;CONSOLIDADA;FRANCISCO EDSON DA SILVA;ECT2101;PRÉ-CÁLCULO;72.0;178.0;0.4044943820224719
57653690;CONSOLIDADA;FRANCISCO EDSON DA SILVA;ECT2101;PRÉ-CÁLCULO;35.0;139.0;0.2517985611510791
57653690;CONSOLIDADA;JOAO VITAL DA CUNHA JUNIOR;ECT2101;PRÉ-CÁLCULO;35.0;139.0;0.2517985611510791
57656795;CONSOLIDADA;FRANCISCO EDSON DA SILVA;ECT2101;PRÉ-CÁLCULO;80.0;210.0;0.38095238095238093
57653693;CONSOLIDADA;RICARDO WAGNER DE ARAUJO;ECT2101;PRÉ-CÁLCULO;57.0;186.0;0.3064516129032258
57653695;CONSOLIDADA;LEANDRO IBIAPINA BEVILAQUA;ECT2101;PRÉ-CÁLCULO;16.0;62.0;0.25806451612903225
57653696;CONSOLIDADA;LEANDRO IBIAPINA BEVILAQUA;ECT2101;PRÉ-CÁLCULO;49.0;140.0;0.35
57653719;CONSOLIDADA;JOAO VITAL DA CUNHA JUNIOR;ECT2102;VETORES E GEOMETRIA ANALÍTICA;60.0;164.0;0.36585365853658536
57653713;CONSOLIDADA;JEFFERSON SOARES DA COSTA;ECT2102;VETORES E GEOMETRIA ANALÍTICA;62.0;279.0;0.2222222222222222
57653715;CONSOLIDADA;LEO GOUVEA MEDEIROS;ECT2102;VETORES E GEOMETRIA ANALÍTICA;96.0;177.0;0.5423728813559322
57653715;CONSOLIDADA;FABIANA TRISTAO DE SANTANA;ECT2102;VETORES E GEOMETRIA ANALÍTICA;96.0;177.0;0.5423728813559322
57653723;CONSOLIDADA;LEO GOUVEA MEDEIROS;ECT2102;VETORES E GEOMETRIA ANALÍTICA;9.0;107.0;0.08411214953271028
57653720;CONSOLIDADA;FABIANA TRISTAO DE SANTANA;ECT2102;VETORES E GEOMETRIA ANALÍTICA;62.0;361.0;0.17174515235457063
57653721;CONSOLIDADA;FABIANA TRISTAO DE SANTANA;ECT2102;VETORES E GEOMETRIA ANALÍTICA;67.0;341.0;0.19648093841642228
57653718;CONSOLIDADA;PAULO DANTAS SESION JUNIOR;ECT2102;VETORES E GEOMETRIA ANALÍTICA;49.0;157.0;0.31210191082802546
57653724;CONSOLIDADA;FABIO SPEROTTO BEMFICA;ECT2102;VETORES E GEOMETRIA ANALÍTICA;42.0;117.0;0.358974358974359
57653703;CONSOLIDADA;RICARDO WAGNER DE ARAUJO;ECT2103;CÁLCULO I;37.0;149.0;0.2483221476510067
57653704;CONSOLIDADA;RICARDO WAGNER DE ARAUJO;ECT2103;CÁLCULO I;36.0;165.0;0.21818181818181817
57653698;CONSOLIDADA;SIMONE BATISTA;ECT2103;CÁLCULO I;87.0;320.0;0.271875
57653700;CONSOLIDADA;SIMONE BATISTA;ECT2103;CÁLCULO I;59.0;261.0;0.2260536398467433
57653702;CONSOLIDADA;SIMONE BATISTA;ECT2103;CÁLCULO I;56.0;272.0;0.20588235294117646
57653699;CONSOLIDADA;CARLOS EDUARDO PELLICER DE OLIVEIRA;ECT2103;CÁLCULO I;50.0;157.0;0.3184713375796178
57653708;CONSOLIDADA;ALEXSANDRO PEREIRA LIMA;ECT2103;CÁLCULO I;72.0;158.0;0.45569620253164556
57653710;CONSOLIDADA;ALEXSANDRO PEREIRA LIMA;ECT2103;CÁLCULO I;25.0;100.0;0.25
57653710;CONSOLIDADA;RONALDO CARLOTTO BATISTA;ECT2103;CÁLCULO I;25.0;100.0;0.25
57654193;CONSOLIDADA;CARLOS EDUARDO PELLICER DE OLIVEIRA;ECT2301;CÁLCULO III;21.0;63.0;0.3333333333333333
57654204;CONSOLIDADA;JEFFERSON SOARES DA COSTA;ECT2301;CÁLCULO III;42.0;126.0;0.3333333333333333
57654131;CONSOLIDADA;HECTOR LENY CARRION SALAZAR;ECT2301;CÁLCULO III;15.0;66.0;0.22727272727272727
57654199;CONSOLIDADA;HECTOR LENY CARRION SALAZAR;ECT2301;CÁLCULO III;1.0;33.0;0.030303030303030304
57654076;CONSOLIDADA;FABIO SPEROTTO BEMFICA;ECT2201;CÁLCULO II;48.0;233.0;0.20600858369098712
57654077;CONSOLIDADA;LEONARDO MAFRA BEZERRIL;ECT2201;CÁLCULO II;36.0;105.0;0.34285714285714286
57654078;CONSOLIDADA;LEONARDO MAFRA BEZERRIL;ECT2201;CÁLCULO II;6.0;34.0;0.17647058823529413
57654079;CONSOLIDADA;DARLAN ARAUJO MOREIRA;ECT2201;CÁLCULO II;93.0;196.0;0.4744897959183674
57654080;CONSOLIDADA;DARLAN ARAUJO MOREIRA;ECT2201;CÁLCULO II;58.0;125.0;0.464
57653728;CONSOLIDADA;FILIPE MARTEL DE MAGALHAES BORGES;ECT2104;QUÍMICA GERAL;9.0;82.0;0.10975609756097561
57653729;CONSOLIDADA;FILIPE MARTEL DE MAGALHAES BORGES;ECT2104;QUÍMICA GERAL;18.0;91.0;0.1978021978021978
57653730;CONSOLIDADA;FILIPE MARTEL DE MAGALHAES BORGES;ECT2104;QUÍMICA GERAL;22.0;66.0;0.3333333333333333
57653731;CONSOLIDADA;FILIPE MARTEL DE MAGALHAES BORGES;ECT2104;QUÍMICA GERAL;13.0;42.0;0.30952380952380953
57653732;CONSOLIDADA;FILIPE MARTEL DE MAGALHAES BORGES;ECT2104;QUÍMICA GERAL;22.0;47.0;0.46808510638297873
57654049;CONSOLIDADA;TATIANA DE CAMPOS BICUDO;ECT2104;QUÍMICA GERAL;2.0;43.0;0.046511627906976744
57654050;CONSOLIDADA;TATIANA DE CAMPOS BICUDO;ECT2104;QUÍMICA GERAL;2.0;35.0;0.05714285714285714
57654051;CONSOLIDADA;TATIANA DE CAMPOS BICUDO;ECT2104;QUÍMICA GERAL;5.0;43.0;0.11627906976744186
57654052;CONSOLIDADA;TATIANA DE CAMPOS BICUDO;ECT2104;QUÍMICA GERAL;2.0;35.0;0.05714285714285714
57654053;CONSOLIDADA;TATIANA DE CAMPOS BICUDO;ECT2104;QUÍMICA GERAL;3.0;29.0;0.10344827586206896
57656803;CONSOLIDADA;PATRICIA KAORI SOARES;ECT2104;QUÍMICA GERAL;14.0;35.0;0.4
57656804;CONSOLIDADA;PATRICIA KAORI SOARES;ECT2104;QUÍMICA GERAL;13.0;33.0;0.3939393939393939
57656805;CONSOLIDADA;PATRICIA KAORI SOARES;ECT2104;QUÍMICA GERAL;14.0;34.0;0.4117647058823529
57656806;CONSOLIDADA;PATRICIA KAORI SOARES;ECT2104;QUÍMICA GERAL;16.0;30.0;0.5333333333333333
57656807;CONSOLIDADA;PATRICIA KAORI SOARES;ECT2104;QUÍMICA GERAL;18.0;35.0;0.5142857142857142
57656809;CONSOLIDADA;ELISAMA VIEIRA DOS SANTOS;ECT2104;QUÍMICA GERAL;12.0;30.0;0.4
57656809;CONSOLIDADA;SALETE MARTINS ALVES;ECT2104;QUÍMICA GERAL;12.0;30.0;0.4
57656814;CONSOLIDADA;ELISAMA VIEIRA DOS SANTOS;ECT2104;QUÍMICA GERAL;12.0;34.0;0.35294117647058826
57656814;CONSOLIDADA;SALETE MARTINS ALVES;ECT2104;QUÍMICA GERAL;12.0;34.0;0.35294117647058826
57656816;CONSOLIDADA;ELISAMA VIEIRA DOS SANTOS;ECT2104;QUÍMICA GERAL;11.0;40.0;0.275
57656816;CONSOLIDADA;SALETE MARTINS ALVES;ECT2104;QUÍMICA GERAL;11.0;40.0;0.275
57656817;CONSOLIDADA;ELISAMA VIEIRA DOS SANTOS;ECT2104;QUÍMICA GERAL;11.0;32.0;0.34375
57656817;CONSOLIDADA;SALETE MARTINS ALVES;ECT2104;QUÍMICA GERAL;11.0;32.0;0.34375
57656819;CONSOLIDADA;ELISAMA VIEIRA DOS SANTOS;ECT2104;QUÍMICA GERAL;5.0;32.0;0.15625
57656819;CONSOLIDADA;SALETE MARTINS ALVES;ECT2104;QUÍMICA GERAL;5.0;32.0;0.15625
57654054;CONSOLIDADA;EDNA MARIA RANGEL DE SA;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;58.0;152.0;0.3815789473684211
